# Name ;Speed ;Acceleration ;Weight ;Handling ;Traction/Grip ;Mini-Turbo
Super Glider ;0 ;0 ;0 ;0 ;0 ;0
Cloud Glider ;-0.25 ;+0.25 ;-0.25 ;0 ;0 ;+0.25
Wario Wing ;0 ;0 ;+0.25 ;0 ;-0.25 ;0
Waddle Wing ;0 ;0 ;0 ;0 ;0 ;0
Peach Parasol ;-0.25 ;+0.25 ;-0.25 ;0 ;0 ;+0.25
Parachute ;-0.25 ;+0.25 ;-0.25 ;0 ;0 ;+0.25
Parafoil ;-0.25 ;+0.25 ;0 ;0 ;-0.25 ;+0.25
Flower Glider ;-0.25 ;+0.25 ;-0.25 ;0 ;0 ;+0.25
Bowser Kite ;-0.25 ;+0.25 ;0 ;0 ;-0.25 ;+0.25
Plane Glider ;0 ;0 ;+0.25 ;0 ;-0.25 ;0
MKTV Parafoil ;-0.25 ;+0.25 ;0 ;0 ;-0.25 ;+0.25
Gold Glider ;0 ;0 ;+0.25 ;0 ;-0.25 ;0
Hylian Kite ;0 ;0 ;0 ;0 ;0 ;0
Paper Glider ;-0.25 ;+0.25 ;-0.25 ;0 ;0 ;+0.25