# Tire Name ;Speed ;Acceleration ;Weight ;Handling ;Traction/Grip ;Mini-Turbo ;Total
Standard ;0 ;0 ;0 ;0 ;0 ;0 ;0
Monster ;0 ;-0.5 ;+0.5 ;-0.75 ;+0.5 ;-0.25 ;-0.5
Roller ;-0.5 ;+0.5 ;-0.5 ;+0.25 ;-0.25 ;+0.75 ;+0.25
Slim ;+0.25 ;-0.5 ;0 ;+0.25 ;-1.0 ;-0.25 ;-1.25
Slick ;+0.5 ;-0.75 ;+0.25 ;-0.25 ;-1.25 ;-0.75 ;-2.25
Metal ;+0.5 ;-1.0 ;+0.5 ;-0.25 ;-0.75 ;-0.75 ;-1
Button ;-0.25 ;+0.25 ;-0.5 ;0 ;-0.5 ;+0.5 ;0
Off-Road ;+0.25 ;-0.25 ;+0.25 ;-0.5 ;+0.25 ;-0.5 ;-0.5
Sponge ;-0.25 ;0 ;-0.25 ;-0.25 ;+0.25 ;+0.25 ;-0.25
Wood ;+0.25 ;-0.5 ;0 ;+0.25 ;-1.0 ;-0.25 ;-1.25
Cushion ;-0.25 ;0 ;-0.25 ;-0.25 ;+0.25 ;+0.25 ;-0.25
Blue Standard ;0 ;0 ;0 ;0 ;0 ;0 ;0
Hot Monster ;0 ;-0.5 ;+0.5 ;-0.75 ;+0.5 ;-0.25 ;-0.5
Azure Roller ;-0.5 ;+0.5 ;-0.5 ;+0.25 ;-0.25 ;+0.75 ;+0.25
Crimson Slim ;+0.25 ;-0.5 ;0 ;+0.25 ;-1.0 ;-0.25 ;-1
Cyber Slick ;+0.5 ;-0.75 ;+0.25 ;-0.25 ;-1.25 ;-0.75 ;-2.25
Retro Off-Road ;+0.25 ;-0.25 ;+0.25 ;-0.5 ;+0.25 ;-0.5 ;-0.5
Gold Tires ;+0.5 ;-1.0 ;+0.5 ;-0.25 ;-0.75 ;-0.75 ;-1.75
GLA Tires ;0 ;0 ;0 ;0 ;0 ;0 ;0
Triforce Tires ;+0.25 ;-0.25 ;+0.25 ;-0.5 ;+0.25 ;-0.5 ;-0.5
Leaf Tires ;-0.25 ;+0.25 ;-0.5 ;0 ;-0.5 ;+0.5 ;-0.5